Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes,Dates
9/16/2022,- ERM001 THORNTONS #0554 - 798 M,- ERM001 THORNTONS #0554 - 798 M,70.39,debit,Gas & Fuel,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-16T00:00:00
9/16/2022,"DD DOORDASH IHOP, 8559731040, CA","DD DOORDASH IHOP, 8559731040, CA",36.08,debit,Restaurants,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-16T00:00:00
9/16/2022,"365 MARKET 888 43, TROY, MI","365 MARKET 888 43, TROY, MI",5,debit,Groceries,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-16T00:00:00
9/15/2022,"DD DOORDASH DASHMA, 8559731040,","DD DOORDASH DASHMA, 8559731040,",22.09,debit,Food Delivery,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-15T00:00:00
9/14/2022,"DD DOORDASH SLOROA, 8559731040,","DD DOORDASH SLOROA, 8559731040,",47.02,debit,Food Delivery,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-14T00:00:00
9/14/2022,"CHICK-FIL-A #03817, MILFORD, OH","CHICK-FIL-A #03817, MILFORD, OH",8.23,debit,Fast Food,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-14T00:00:00
9/14/2022,RECURRING PURCHASE AT APPLE.COM/,RECURRING PURCHASE AT APPLE.COM/,19.39,debit,Electronics & Software,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-14T00:00:00
9/14/2022,"BUCKS STORE 02, MILFORD, OH","BUCKS STORE 02, MILFORD, OH",10.6,debit,Coffee Shops,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-14T00:00:00
9/14/2022,"DD DOORDASH MCDONA, 8559731040,","DD DOORDASH MCDONA, 8559731040,",25.83,debit,Food Delivery,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-14T00:00:00
9/13/2022,"DD DOORDASH RALLYS, 8559731040,","DD DOORDASH RALLYS, 8559731040,",36.16,debit,Food Delivery,FIFTH THIRD MOMENTUM CHECKING,,,2022-09-13T00:00:00
